IdOportunidad,IdEmpresa,IdPropietario,TipoDivisaAjuste,Zona,Importe,FechaCierre,Participantes
0068X00001J86CmQAJ,0018X00003EzoAGQAZ,005UG000001VnS5YAK,MXN,Zona 1,23500,31/12/2024 00:00,16
0068X00001LSg5uQAD,0018X00003HtWRNQA3,0058X00000GNvZSQA1,USD,Zona 1,cero,31/12/2024 00:00,Sin datos
0068X00001LSgCPQA1,0018X00003O5bpAQAR,0058X00000GNvZSQA1,USD,Zona 1,cero,31/12/2024 00:00,Sin datos
0068X00001LSgCPQA1,0018X00003O5bpAQAR,0058X00000GNvZSQA1,USD,Zona 1,cero,31/12/2024 00:00,Sin datos
0068X00001LSgMsQAL,0018X00003O5c1hQAB,0058X00000GNvZSQA1,USD,Zona 1,cero,31/12/2024 00:00,Sin datos
006UG000003l4phYAA,0013f000003TnJRAA0,0052M000008ag3jQAA,MXN,Zona 5,263184,31/12/2024 00:00,0
006UG000004Sy70YAC,0018X00003P5wctQAB,0052M000008Jq5HQAS,USD,,130000,31/12/2024 00:00,Sin datos
006UG000006JAhlYAG,0012M000029HZGHQA4,0058X00000Gotl2QAB,USD,Zona 1,44200,31/12/2024 00:00,0
006UG000007DglOYAS,0014100001uMubeAAC,0058X00000FQzgUQAT,MXN,Zona 2,225000,31/12/2024 00:00,Sin datos
006UG000007DglOYAS,0014100001uMubeAAC,0058X00000FQzgUQAT,MXN,Zona 2,225000,31/12/2024 00:00,Sin datos
006UG000007jHdOYAU,001UG000009FwuXYAS,00541000007Mjh2AAC,USD,Zona 1,12290,31/12/2024 00:00,0
006UG000007KpYbYAK,0014100001uMqWwAAK,00541000007Mjh2AAC,USD,Zona 1,19200,31/12/2024 00:00,0
006UG000007mqmgYAA,001UG000009FtLaYAK,00541000007Mjh2AAC,USD,Zona 1,39000,31/12/2024 00:00,30
006UG000007NbPTYA0,001UG000008oRZtYAM,0053f000000ERMNAA4,MXN,Zona 2,294797,31/12/2024 00:00,25
006UG000007z1hWYAQ,0013f000004YkX1AAK,00541000007Mjh2AAC,USD,Zona 1,13750,31/12/2024 00:00,Sin datos
006UG000008hdnuYAA,0014100001uMqQ2AAK,0053f000000ERMNAA4,MXN,Zona 2,500000,31/12/2024 00:00,0
006UG000008IcTdYAK,0018X000038OLSdQAO,005UG000000Q3VJYA0,MXN,Zona 4,562700,31/12/2024 00:00,Sin datos
006UG000009mslhYAA,0018X00003HsOkSQAV,005UG000000Q3VJYA0,MXN,Zona 4,cero,31/12/2024 00:00,Sin datos
006UG000009mslhYAA,0018X00003HsOkSQAV,005UG000000Q3VJYA0,MXN,Zona 4,cero,31/12/2024 00:00,Sin datos
006UG000009oI6EYAU,0014100001uNFnFAAW,00541000007Mjh2AAC,USD,Zona 1,26250,31/12/2024 00:00,60
006UG000009oU7NYAU,0014100001uMqy7AAC,00541000007Mjh2AAC,USD,Zona 1,15070,31/12/2024 00:00,Sin datos
